City1	City2	Distance (km)
New York	Chicago	796
New York	Houston	1628
New York	San Diego	2759
New York	Dallas	1554
New York	San Jose	2936
New York	Indianapolis	700
New York	Seattle	2852
New York	Denver	1778
New York	Philadelphia	95
New York	San Antonio	1822
New York	Jacksonville	1345
New York	Fort Worth	1588
New York	Columbus	536
New York	Charlotte	625
New York	San Francisco	2902
Chicago	New York	796
Chicago	Los Angeles	2015
Chicago	San Jose	2141
Chicago	Austin	1174
Chicago	Columbus	355
Chicago	Charlotte	757
Chicago	San Francisco	2130
Chicago	Houston	1080
Chicago	Phoenix	1750
Chicago	San Diego	2080
Chicago	Fort Worth	978
Chicago	Seattle	2064
Houston	New York	1628
Houston	Chicago	1080
Houston	San Diego	1470
Houston	Austin	165
Houston	Denver	1029
Houston	Phoenix	1174
Houston	Philadelphia	1545
Houston	San Antonio	197
Houston	San Jose	1925
Houston	Jacksonville	871
Houston	Fort Worth	265
Houston	Columbus	1169
Houston	Indianapolis	1005
Houston	Seattle	2342
Houston	Washington	1401
San Diego	New York	2445
San Diego	Chicago	2080
San Diego	Houston	1470
San Diego	Los Angeles	120
San Diego	San Antonio	1180
San Diego	San Jose	460
San Diego	Jacksonville	2130
San Diego	Columbus	2250
San Diego	San Francisco	500
San Diego	Denver	1050
San Diego	Philadelphia	2370
San Diego	Fort Worth	1340
San Diego	Indianapolis	2020
San Diego	Seattle	1250
San Diego	Washington	2295
Dallas	New York	2220
Dallas	Philadelphia	1465
Dallas	San Antonio	275
Dallas	Washington	1315
Dallas	Los Angeles	1430
Dallas	San Jose	1720
Dallas	Austin	195
Dallas	San Francisco	1750
Dallas	Seattle	2080
Dallas	Denver	780
San Jose	New York	2570
San Jose	Chicago	2141
San Jose	Houston	1925
San Jose	San Diego	460
San Jose	Dallas	1720
San Jose	Philadelphia	2530
San Jose	Fort Worth	1720
San Jose	Columbus	2430
San Jose	San Francisco	50
San Jose	Indianapolis	2300
San Jose	Seattle	840
San Jose	Denver	1250
San Jose	Washington	2400
San Jose	Phoenix	740
San Jose	San Antonio	1725
San Jose	Austin	1710
San Jose	Jacksonville	2510
Indianapolis	New York	660
Indianapolis	Houston	1005
Indianapolis	San Diego	2020
Indianapolis	San Jose	2300
Indianapolis	Austin	1120
Indianapolis	Fort Worth	905
Indianapolis	Washington	585
Indianapolis	Phoenix	1490
Indianapolis	San Antonio	1200
Indianapolis	San Francisco	2320
Indianapolis	Seattle	2130
Indianapolis	Denver	1020
Seattle	New York	2410
Seattle	Chicago	2064
Seattle	Houston	2342
Seattle	San Diego	1250
Seattle	Dallas	2080
Seattle	San Jose	840
Seattle	Indianapolis	2130
Seattle	Phoenix	1425
Seattle	Philadelphia	2380
Seattle	San Antonio	2160
Seattle	Charlotte	2420
Seattle	San Francisco	810
Seattle	Denver	1320
Seattle	Austin	2100
Seattle	Fort Worth	2120
Seattle	Washington	2330
Denver	New York	1630
Denver	Houston	1029
Denver	San Diego	1050
Denver	Dallas	780
Denver	San Jose	1250
Denver	Indianapolis	1020
Denver	Seattle	1320
Denver	Los Angeles	1020
Denver	Jacksonville	1730
Denver	Columbus	1180
Denver	Philadelphia	1740
Denver	San Antonio	885
Denver	Fort Worth	650
Denver	San Francisco	1250
Denver	Washington	1630
Philadelphia	New York	95
Philadelphia	Houston	1545
Philadelphia	San Diego	2370
Philadelphia	Dallas	1465
Philadelphia	San Jose	2530
Philadelphia	Seattle	2380
Philadelphia	Denver	1740
Philadelphia	Columbus	470
Philadelphia	San Francisco	2520
Philadelphia	Jacksonville	860
Philadelphia	San Antonio	1585
Philadelphia	Washington	140
San Antonio	New York	1790
San Antonio	Houston	197
San Antonio	San Diego	1180
San Antonio	Dallas	275
San Antonio	San Jose	1725
San Antonio	Indianapolis	1200
San Antonio	Seattle	2160
San Antonio	Denver	885
San Antonio	Philadelphia	1585
San Antonio	Phoenix	980
San Antonio	Austin	80
San Antonio	Charlotte	1190
San Antonio	San Francisco	1720
San Antonio	Jacksonville	1110
San Antonio	Fort Worth	270
Jacksonville	New York	935
Jacksonville	Houston	871
Jacksonville	San Diego	2130
Jacksonville	San Jose	2510
Jacksonville	Denver	1730
Jacksonville	Philadelphia	860
Jacksonville	San Antonio	1110
Jacksonville	Phoenix	1785
Jacksonville	Austin	990
Jacksonville	Columbus	710
Jacksonville	San Francisco	2520
Jacksonville	Washington	710
Jacksonville	Fort Worth	1080
Fort Worth	New York	1550
Fort Worth	Chicago	978
Fort Worth	Houston	265
Fort Worth	San Diego	1340
Fort Worth	San Jose	1720
Fort Worth	Indianapolis	905
Fort Worth	Seattle	2120
Fort Worth	Denver	650
Fort Worth	San Antonio	270
Fort Worth	Jacksonville	1080
Fort Worth	Los Angeles	1420
Fort Worth	Phoenix	1065
Fort Worth	Austin	190
Fort Worth	Columbus	1030
Fort Worth	Charlotte	1045
Fort Worth	San Francisco	1740
Fort Worth	Washington	1305
Columbus	New York	475
Columbus	Chicago	355
Columbus	Houston	1169
Columbus	San Diego	2250
Columbus	San Jose	2430
Columbus	Denver	1180
Columbus	Philadelphia	470
Columbus	Jacksonville	710
Columbus	Fort Worth	1030
Columbus	Los Angeles	2150
Columbus	Phoenix	1760
Columbus	Austin	1150
Columbus	Charlotte	390
Charlotte	New York	635
Charlotte	Chicago	757
Charlotte	Seattle	2420
Charlotte	San Antonio	1190
Charlotte	Fort Worth	1045
Charlotte	Columbus	390
Charlotte	Phoenix	1775
Charlotte	Austin	1160
Charlotte	Washington	400
Charlotte	San Francisco	2460
San Francisco	New York	2580
San Francisco	Chicago	2130
San Francisco	San Diego	500
San Francisco	Dallas	1750
San Francisco	San Jose	50
San Francisco	Indianapolis	2320
San Francisco	Seattle	810
San Francisco	Denver	1250
San Francisco	Philadelphia	2520
San Francisco	San Antonio	1720
San Francisco	Jacksonville	2520
San Francisco	Fort Worth	1740
San Francisco	Charlotte	2460
San Francisco	Washington	2450
Los Angeles	Chicago	2015
Los Angeles	San Diego	120
Los Angeles	Dallas	1430
Los Angeles	Denver	1020
Los Angeles	Fort Worth	1420
Los Angeles	Columbus	2150
Los Angeles	Phoenix	370
Los Angeles	Washington	2280
Austin	Chicago	1174
Austin	Houston	165
Austin	Dallas	195
Austin	San Jose	1710
Austin	Indianapolis	1120
Austin	Seattle	2100
Austin	San Antonio	80
Austin	Jacksonville	990
Austin	Fort Worth	190
Austin	Columbus	1150
Austin	Charlotte	1160
Austin	Washington	1450
Austin	New York	1745
Austin	Philadelphia	1530
Austin	Denver	920
Austin	San Diego	1300
Austin	San Francisco	1750
Austin	Los Angeles	1370
Austin	Phoenix	870
Phoenix	Chicago	1750
Phoenix	Houston	1174
Phoenix	San Jose	740
Phoenix	Indianapolis	1490
Phoenix	Seattle	1425
Phoenix	San Antonio	980
Phoenix	Jacksonville	1785
Phoenix	Fort Worth	1065
Phoenix	Columbus	1760
Phoenix	Charlotte	1775
Phoenix	Los Angeles	370
Phoenix	Washington	2000
Phoenix	New York	2450
Phoenix	Philadelphia	2350
Phoenix	Denver	830
Phoenix	San Diego	355
Phoenix	San Francisco	750
Phoenix	Dallas	1065
Phoenix	Austin	870
Washington	Houston	1401
Washington	San Diego	2295
Washington	Dallas	1315
Washington	San Jose	2400
Washington	Indianapolis	585
Washington	Seattle	2330
Washington	Denver	1630
Washington	Philadelphia	140
Washington	Jacksonville	710
Washington	Fort Worth	1305
Washington	Charlotte	400
Washington	San Francisco	2450
Washington	Los Angeles	2280
Washington	Austin	1450
Washington	Phoenix	2000
Washington	New York	225
Washington	Chicago	700
Washington	San Antonio	1585
Washington	Columbus	470
Washington	San Jose	2400






